name;descr;code;locale
Chinese;Chinese;zh;en
Spanish;Spanish;es;en
English;English;en;en
French;French;fr;en
German;German;de;en
Italian;Italian;it;en
Russian;Russian;ru;en
Chinese;Chinese;zh;fr
espagnol;espagnol;es;fr
anglais;anglais;en;fr
français;français;fr;fr
allemand;allemand;de;fr
italien;italien;it;fr
russe;russe;ru;fr
Chinese;Chinese;zh;de
Spanisch;Spanisch;es;de
Englisch;Englisch;en;de
Französisch;Französisch;fr;de
Deutsch;Deutsch;de;de
Italienisch;Italienisch;it;de
Russisch;Russisch;ru;de
